"description_en";"fmt1";"fmt2";"fmt3";"fmtend";"unitab";"description";"sequence";"name"
"";"";"";"";"";"";"";"";"ACCOPPIATORE"
"ADAPTER";"";"";"";"";"";"";"";"ADATTATORE"
"";"";"";"";"";"";"";"";"AGGANCIO"
"SHAFT";"%s %s";"%s %s";"";"%s x %s";"";"Albero liscio";"";"ALBERO"
"";"";"";"";"";"";"";"";"ANCORAGGIO"
"";"";"";"";"";"";"";"";"ANCORANTE CHIMICO"
"RING";"%s=%s";"%s=%s";"";"";"";"Anello";"";"ANELLO"
"";"%s=%s";"";"";"";"UNI 7435";"Anello Seeger per Alberi";"";"ANELLO ELASTICO"
"";"%s=%s";"";"";"";"UNI 7437";"Anello Seeger per Fori";"";"ANELLO ELASTICO"
"";"%s %s";"%s %s";"";"%s x %s";"";"";"";"ANELLO DISTANZIALE"
"";"";"";"";"";"";"";"";"ANELLO GOMMATO"
"";"";"";"";"";"";"";"";"ANELLO NILOS"
"";"";"";"";"";"";"";"";"ANELLO SUPERELASTICO"
"";"";"";"";"";"";"";"";"ANGOLARE"
"";"";"";"";"";"";"";"";"ANTIROTAZIONE"
"";"";"";"";"";"";"";"";"ANTIVIBRANTE"
"";"";"";"";"";"";"";"";"APPOGGIO"
"";"";"";"";"";"";"";"";"ARRESTO SPINTORE"
"";"";"";"";"";"";"";"";"ASSALE"
"";"";"";"";"";"";"";"";"ASSIEME ATTREZZATURA"
"";"";"";"";"";"";"";"";"ASSIEME CABINA"
"";"";"";"";"";"";"";"";"ASSIEME CARICATORE"
"";"";"";"";"";"";"";"";"ASSIEME CARRELLO"
"";"";"";"";"";"";"";"";"ASSIEME CASSERO"
"";"";"";"";"";"";"";"";"ASSIEME CASSONE"
"";"";"";"";"";"";"";"";"ASSIEME CATENARIA"
"";"";"";"";"";"";"";"";"ASSIEME COFANO"
"";"";"";"";"";"";"";"";"ASSIEME CONVOGLIATORE RADIATORE"
"";"";"";"";"";"";"";"";"ASSIEME CORPO SIVIERA"
"";"";"";"";"";"";"";"";"ASSIEME CRUSCOTTO"
"";"";"";"";"";"";"";"";"ASSIEME ENCODER ECCENTRICO"
"";"";"";"";"";"";"";"";"ASSIEME FORCHE"
"";"";"";"";"";"";"";"";"ASSIEME GABBIA PER MAGNESIO"
"";"";"";"";"";"";"";"";"ASSIEME LINEA ELETTRICA"
"";"";"";"";"";"";"";"";"ASSIEME MACCHINA"
"";"";"";"";"";"";"";"";"ASSIEME MOTORE"
"";"";"";"";"";"";"";"";"ASSIEME PONTE FOLLE"
"";"";"";"";"";"";"";"";"ASSIEME PONTE TRAENTE STERZANTE"
"";"";"";"";"";"";"";"";"ASSIEME PORTA PRINCIPALE"
"";"";"";"";"";"";"";"";"ASSIEME PORTA VANO Q.E."
"";"";"";"";"";"";"";"";"ASSIEME POSTAZIONE OPERATORE"
"";"";"";"";"";"";"";"";"ASSIEME PRESSA"
"";"";"";"";"";"";"";"";"ASSIEME RECINZIONI/BARRIERE"
"";"";"";"";"";"";"";"";"ASSIEME RULLIERA"
"";"";"";"";"";"";"";"";"ASSIEME SCHERMO DI PROTEZIONE"
"";"";"";"";"";"";"";"";"ASSIEME SOLLEVAMENTO CABINA"
"";"";"";"";"";"";"";"";"ASSIEME SUPPORTO FISSO"
"";"";"";"";"";"";"";"";"ASSIEME TELAIO"
"";"";"";"";"";"";"";"";"ASSIEME TELESCOPIO"
"";"";"";"";"";"";"";"";"ASSIEME TORRETTA"
"";"";"";"";"";"";"";"";"ASSIEME TUBO SIVIERA"
"";"";"";"";"";"";"";"";"ASSIEME UTENSILE"
"";"";"";"";"";"";"";"";"ASSIEME VASCA"
"";"";"";"";"";"";"";"";"ASSIEME VEICOLO"
"";"";"";"";"";"";"";"";"ASSIEME ZAVORRA"
"";"";"";"";"";"";"";"";"ASTA DI BLOCCO"
"";"";"";"";"";"";"";"";"ASTA DI COMANDO"
"";"";"";"";"";"";"";"";"ASTE OSCILLANTI"
"";"";"";"";"";"";"";"";"ATTACCO BLOCCO CASSONE"
"";"";"";"";"";"";"";"";"ATTACCO CILINDRO"
"";"";"";"";"";"";"";"";"ATTACCO GABBIA"
"";"";"";"";"";"";"";"";"ATTACCO SERRANDA"
"";"";"";"";"";"";"";"";"ATTACCO TRASDUTTORE"
"";"";"";"";"";"";"";"";"AVVOLGICAVO"
"";"";"";"";"";"";"";"";"AVVOLGITUBO"
"";"";"";"";"";"";"";"";"AZIONATORE DESTRO"
"";"";"";"";"";"";"";"";"AZIONATORE SINISTRO"
"";"";"";"";"";"";"";"";"BALLATOIO"
"";"";"";"";"";"";"";"";"BARRA DI ANCORAGGIO"
"";"";"";"";"";"";"";"";"BARRA DI GUIDA"
"";"";"";"";"";"";"";"";"BARRA FILETTATA"
"";"";"";"";"";"";"";"";"BARRIERA"
"";"";"";"";"";"";"";"";"BASE"
"";"";"";"";"";"";"";"";"BATTENTE"
"";"";"";"";"";"";"";"";"BATTERIA"
"";"";"";"";"";"";"";"";"BECCO DI SCARICO"
"";"";"";"";"";"";"";"";"BERSAGLIO"
"";"";"";"";"";"";"";"";"BIELLA"
"";"";"";"";"";"";"";"";"BLOCCAGGIO DEVIO"
"";"";"";"";"";"";"";"";"BLOCCHETTO"
