id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_quality_alert_team_user,plm_quality.alert.team,plm_quality.model_quality_alert_team,plm_quality.group_quality_user,1,0,0,0
access_quality_check_user,plm_quality.check,plm_quality.model_quality_check,plm_quality.group_quality_user,1,1,1,0
access_quality_alert_user,plm_quality.alert,plm_quality.model_quality_alert,plm_quality.group_quality_user,1,1,1,0
access_quality_reason_user,plm_quality.reason,plm_quality.model_quality_reason,plm_quality.group_quality_user,1,0,0,0
access_quality_tag_user,quality.tag,plm_quality.model_quality_tag,plm_quality.group_quality_user,1,0,0,0
access_quality_alert_stage_user,plm_quality.alert.stage,plm_quality.model_quality_alert_stage,plm_quality.group_quality_user,1,0,0,0
access_quality_point_user,quality.point,plm_quality.model_quality_point,plm_quality.group_quality_user,1,0,0,0
access_quality_point_test_type_user,plm_quality.point.test_type,plm_quality.model_quality_point_test_type,plm_quality.group_quality_user,1,0,0,0
access_quality_check_stock_user,plm_quality.check,plm_quality.model_quality_check,stock.group_stock_user,1,1,1,0
access_stock_lot_user,stock.lot,stock.model_stock_lot,plm_quality.group_quality_user,1,0,0,0
access_stock_pack_user,stock.move.line,stock.model_stock_move_line,plm_quality.group_quality_user,1,0,0,0
access_stock_picking,stock.move.line,stock.model_stock_picking,plm_quality.group_quality_user,1,0,0,0
access_quality_alert_team_manager,plm_quality.alert.team,plm_quality.model_quality_alert_team,plm_quality.group_quality_manager,1,1,1,1
access_quality_check_manager,quality.check,plm_quality.model_quality_check,plm_quality.group_quality_manager,1,1,1,1
access_quality_alert_manager,quality.alert,plm_quality.model_quality_alert,plm_quality.group_quality_manager,1,1,1,1
access_quality_reason_manager,quality.reason,plm_quality.model_quality_reason,plm_quality.group_quality_manager,1,1,1,1
access_quality_tag_manager,quality.tag,plm_quality.model_quality_tag,plm_quality.group_quality_manager,1,1,1,1
access_quality_alert_stage_manager,quality.alert.stage,plm_quality.model_quality_alert_stage,plm_quality.group_quality_manager,1,1,1,1
access_quality_point_manager,quality.point.manager,plm_quality.model_quality_point,plm_quality.group_quality_manager,1,1,1,1
access_quality_check_stock_manager,quality.check.manager,plm_quality.model_quality_check,plm_quality.group_quality_manager,1,1,1,1
